unique_id,min,max,midpt
AL_Birmingham_B13,,,12
AL_Mobile_B6,1,15,8
CO_Denver_D4,,,20
IL_Aurora_C6,,,50
IL_Chicago_C238,,,35
OH_Akron_A1,,,15
OH_Akron_A10,,,12
OH_Akron_A11,,,12
OH_Akron_A2,,,15
OH_Akron_A4,12,15,13.5
OH_Akron_A6,13,15,14
OH_Akron_A7,,,8
OH_Akron_A8,,,10
OH_Akron_B1,,,15
OH_Akron_B10,,,20
OH_Akron_B11,15,20,17.5
OH_Akron_B12,,,20
OH_Akron_B13,,,20
OH_Akron_B14,,,15
OH_Akron_B15,,,18
OH_Akron_B16,,,20
OH_Akron_B17,,,18
OH_Akron_B18,,,35
OH_Akron_B19,,,15
OH_Akron_B2,,,30
OH_Akron_B3,,,25
OH_Akron_B4,,,25
OH_Akron_B5,,,30
OH_Akron_B6,,,13
OH_Akron_B7,,,23
OH_Akron_B8,,,20
OH_Akron_B9,20,25,22.5
OH_Akron_C1,,,15
OH_Akron_C10,,,16
OH_Akron_C11,,,18
OH_Akron_C12,,,40
OH_Akron_C13,,,40
OH_Akron_C14,,,35
OH_Akron_C15,,,12
OH_Akron_C16,,,15
OH_Akron_C17,,,10
OH_Akron_C18,,,18
OH_Akron_C19,,,15
OH_Akron_C2,,,20
OH_Akron_C20,,,12
OH_Akron_C21,,,18
OH_Akron_C22,,,30
OH_Akron_C23,,,18
OH_Akron_C24,,,15
OH_Akron_C3,,,40
OH_Akron_C4,,,12
OH_Akron_C5,,,20
OH_Akron_C6,,,15
OH_Akron_C7,,,18
OH_Akron_C8,,,20
OH_Akron_C9,,,15
OH_Akron_D1,,,30
OH_Akron_D10,,,15
OH_Akron_D11,,,30
OH_Akron_D12,,,18
OH_Akron_D13,,,6
OH_Akron_D2,40,50,45
OH_Akron_D3,,,20
OH_Akron_D4,,,30
OH_Akron_D5,,,50
OH_Akron_D6,,,45
OH_Akron_D7,,,40
OH_Akron_D8,,,20
OH_Akron_D9,,,20
WI_MilwaukeeCo_D19,,,40
IL_Chicago_B124,12,15,13.5
IL_Chicago_B125,10,50,30
IL_Chicago_C252,,,15
IL_Joliet_D1,100,100,100
IN_LakeCoGary_C14,10,12,11
MA_Boston_D2,30,125,77.5
MA_Boston_D8,35,100,67.5
MA_Lexington_A1,1,150,75.5
MA_Lexington_A2,5,150,77.5
NJ_AtlanticCity_A2,15,17,16
NJ_AtlanticCity_B2,12,14,13
NJ_AtlanticCity_B3,15,20,17.5
NJ_AtlanticCity_B7,,,15
NJ_AtlanticCity_C1,,,12
NJ_AtlanticCity_C10,,,15
NJ_AtlanticCity_C11,,,20
NJ_AtlanticCity_C12,,,20
NJ_AtlanticCity_C13,,,15
NJ_AtlanticCity_C14,25,30,27.5
NJ_AtlanticCity_C4,,,20
NJ_AtlanticCity_C6,15,20,17.5
NJ_AtlanticCity_C8,,,30
NJ_AtlanticCity_C9,,,12
NJ_AtlanticCity_D2,,,30
NJ_BergenCo_C33,,,4
NY_Queens_C64,10,25,17.5
NY_Queens_C67,10,25,17.5
NY_Queens_D18,10,30,20
OH_Hamilton_C3,12,40,26
OH_Youngstown_B5,5,6,5.5
WI_MilwaukeeCo_C11,15,40,27.5
